product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Baggry's Crunchy Muesli Almond Raisins & Honey,130.0,130.0,0,5,200,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrry's Fruit Fibre Muesli Mixed Fruit,595.0,595.0,0,5,1000,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrrys Corn Flakes,350.0,350.0,0,6,880,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrrys Fruit N Fibre Muesli - Strawberry,595.0,595.0,0,1,1000,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrrys Fruit N Fibre Muesli Mixed Fruit,330.0,330.0,0,6,500,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrrys Fruit and Nut Muesli with Cranberries,499.0,499.0,0,5,750,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bagrrys Muesli Crunchy Fruit & Nut With Cranberries,330.0,297.0,10,6,400,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bambino Popular Vermicelli,40.0,39.0,2,3,400,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Bombay Shaving Company Sensitive Cartridges,375.0,375.0,0,2,116,False,3,3,"Health & Hygiene, Paan Corner, Personal Care"
Cantina Tabasco Green Sauce,140.0,119.0,15,6,60,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Cantina Tabasco Red Sauce,140.0,119.0,15,6,60,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,225.0,191.0,15,5,190,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
