priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
24,2123,"Meats, Fish & Eggs","Suguna Vitamin D Egg",75.0,62.0,17,0,348,1,19.05,0.0,60
25,104,Beverages,"Suguna Nourish Egg",72.0,60.0,16,0,348,1,21.71,0.0,60
26,1282,"Dairy, Bread & Batter","Suguna Nourish Egg",72.0,60.0,16,0,348,1,21.71,0.0,60
27,2121,"Meats, Fish & Eggs","Suguna Nourish Egg",72.0,60.0,16,0,348,1,19.05,0.0,60
28,162,Biscuits,"Britannia Milk Bikis Cream Biscuit",70.0,70.0,0,0,500,1,28.57,0.0,60
29,29,Beverages,"Amul Taaza Toned Homogenised Milk",66.0,64.0,3,0,1000,1,21.71,0.0,60
30,1207,"Dairy, Bread & Batter","Amul Taaza Toned Homogenised Milk",66.0,64.0,3,0,1000,1,21.71,0.0,60
31,257,Biscuits,"The Bake Shop Maska Khari",65.0,61.0,6,0,200,1,28.57,0.0,60
32,103,Beverages,"Suguna Nourish Egg",62.0,62.0,0,0,696,1,21.71,0.0,60
33,1281,"Dairy, Bread & Batter","Suguna Nourish Egg",62.0,62.0,0,0,696,1,21.71,0.0,60
34,2120,"Meats, Fish & Eggs","Suguna Nourish Egg",62.0,62.0,0,0,696,1,19.05,0.0,60
35,233,Biscuits,"Parle Monaco Sixer Salted Biscuits",60.0,54.0,10,0,200,1,28.57,0.0,60
36,180,Biscuits,"Britannia Toastea Premium Bake Rusk",50.0,47.0,6,0,300,1,28.57,0.0,60
37,149,Biscuits,"Britannia Good Day Cashew Cookies Packet",40.0,38.0,5,0,200,1,28.57,0.0,60
38,236,Biscuits,"Sunfeast Dark Fantasy Bourbon Bliss",35.0,29.0,17,0,150,1,28.57,0.0,60
39,239,Biscuits,"Sunfeast Dark Fantasy Choco Fills",35.0,32.0,8,0,75,1,28.57,0.0,60
40,168,Biscuits,"Britannia Nutri Choice Oats Choco Almond Biscuit",25.0,22.5,10,0,100,1,28.57,0.0,60
41,250,Biscuits,"Sunfeast Nice Biscuit",25.0,22.0,12,0,150,1,28.57,0.0,60
42,269,Biscuits,"Unibic Choco Nut Cookies",25.0,23.0,8,0,75,1,28.57,0.0,60
43,700,"Cooking Essentials","Aashirvaad Atta With Mutigrains",315.0,287.0,8,0,5000,1,12.45,0.0,55
44,2178,Munchies,"Aashirvaad Atta With Mutigrains",315.0,287.0,8,0,5000,1,12.45,0.0,55
45,818,"Cooking Essentials","Everest Kashmiri Lal Chilli Powder",310.0,279.0,10,0,500,1,12.45,0.0,55
46,2296,Munchies,"Everest Kashmiri Lal Chilli Powder",310.0,279.0,10,0,500,1,12.45,0.0,55
47,96,Beverages,"RRO Mozzarella Block Cheese",295.0,147.0,50,0,200,1,21.71,0.0,55
48,910,"Cooking Essentials","Madhur Pure And Hygienic Sugar",295.0,266.0,9,0,5000,1,12.45,0.0,55
49,1274,"Dairy, Bread & Batter","RRO Mozzarella Block Cheese",295.0,147.0,50,0,200,1,21.71,0.0,55
50,2388,Munchies,"Madhur Pure And Hygienic Sugar",295.0,266.0,9,0,5000,1,12.45,0.0,55
51,421,"Chocolates & Candies","Kelloggs Corn Flakes With Real Strawberry Pure",265.0,236.0,10,0,575,1,11.6,0.0,55
